data_id,al_text,sell_cnt,unit_price,lanlong,age,total_cnt
5011000011487,进贤路202弄,0,,"[121.4649251,31.22759131]",1935-1982年 ,22户
5020059313292028,复兴珑御二期,2,221755,"[121.49119390605,31.2243796878]",2019-2021年 ,407户
5012970475926000,南昌路216号,0,,"[121.47198599999,31.224102865634]",1936年 ,1户
50000000021751,西姚家弄21弄,0,,"[121.50310001912,31.228232256113]",暂无信息 ,1户
5011000009502,巨籁村,0,,"[121.4648001,31.22857234]",暂无信息 ,1户
5020048006196703,翠湖天地五期,4,299210,"[121.48652822879,31.224619202389]",2020-2022年 ,322户
5011000009883,建国西路136号,0,,"[121.4709335,31.21362411]",暂无信息 ,1户
5011000008770,瑞金二路254号,0,,"[121.4731431,31.21410804]",暂无信息 ,2户
50000000006875,淮海中路613弄,0,,"[121.47388381707,31.225762106136]",暂无信息 ,2户
5020039033939022,延安中路507弄,0,,"[121.468032,31.229855]",暂无信息 ,2户
5011000010297,成都北路140弄,0,,"[121.4744298,31.23245429]",1936年 ,25户
50000000006224,西民立路30号,0,,"[121.49173042043,31.21638797716]",2001年 ,3户
50000000001315,巨鹿路244弄,0,,"[121.46916312105,31.229324931828]",暂无信息 ,6户
5011000002889,大吉路24号,0,,"[121.4933268,31.22095728]",暂无信息 ,3户
509977363955856,丽园路642号,0,,"[121.48681496505,31.212935176618]",1985年 ,30户
5011000009939,巨鹿路500号,0,,"[121.46377618112,31.228781195809]",1996年 ,5户
5011000002167,采寿里,0,144832,"[121.46590274604,31.228872077331]",1937-1987年 ,27户
5011000011925,济南路9号,12,,"[121.48423,31.22761]",1999-2008年 ,237户
50000000006605,厦门路114号,0,,"[121.4827982147,31.245638772756]",暂无信息 ,1户
5011000001321,建国西路138号,0,,"[121.4709095,31.21362156]",1937年 ,2户
50000000010498,南昌路282号,0,,"[121.46934399241,31.223336923615]",1936年 ,3户
50000000004777,泰康路10弄,0,,"[121.47825989224,31.214490936149]",1983年 ,50户
50000000008400,瑞金二路47号,0,,"[121.47093950086,31.223547329284]",暂无信息 ,1户
50000000008387,丽园路25号,0,,"[121.49644034064,31.216776540218]",暂无信息 ,1户
5011000010489,中和村,0,,"[121.4712581,31.22766295]",1936-1995年 ,7户
5011000005004,瑞金二路132弄,0,,"[121.4724005,31.21698198]",2005年 ,11户
5011000004728,建国西路25弄,0,,"[121.4726312,31.21421801]",暂无信息 ,9户
50000000008592,建国中路51号,0,,"[121.47634764296,31.215718495376]",1940年 ,1户
5011000002558,勤乐邨,0,,"[121.4740203,31.21354381]",1980-1983年 ,8户
50000000011709,文庙路31弄,0,,"[121.49707163211,31.224944153443]",暂无信息 ,1户
50000000008870,梦花街7号,0,,"[121.49451017803,31.223666073894]",暂无信息 ,1户
5011000007537,南昌路274号,0,125057,"[121.4697961,31.22355878]",1977年 ,15户
5011000006212,定兴路24号,0,,"[121.4777124,31.24125]",暂无信息 ,1户
50000000011549,巨鹿路368号,0,,"[121.46394771773,31.228456585538]",暂无信息 ,1户
5020044566424022,中海建国里,28,215570,"[121.488899,31.222528]",2020-2022年 ,990户
50000000083966,贵州路77弄10-18号,0,,"[121.48263395518,31.241173744034]",暂无信息 ,7户
5011000004899,复兴中路588弄,0,,"[121.4718786,31.22107866]",暂无信息 ,3户
50000000003547,江西中路421号,0,,"[121.4919026459,31.246799806807]",暂无信息 ,1户
5013891970304627,南昌路66号,0,,"[121.475998,31.225443]",暂无信息 ,2户
5012970475925995,南昌路192号,0,,"[121.4726269293,31.224257255476]",暂无信息 ,4户
5020028175078541,长乐路81乙号,0,,"[121.474745,31.227885]",暂无信息 ,4户
5020047633890667,瑞金一路118弄,2,129351,"[121.46969905701,31.225858023487]",1930-1996年 ,34户
5012035779472575,绍兴路86号,0,,"[121.469571,31.215144]",暂无信息 ,2户
50000000015763,露香苑,10,234141,"[121.49132971032,31.229559461153]",2015-2022年 ,80户
50000000001639,牯岭路141号,0,,"[121.47749529131,31.241650225068]",暂无信息 ,1户
5012970538840584,陕西南路203号,0,,"[121.46751975525,31.218987536974]",暂无信息 ,2户
5011000010491,绍兴路36弄,0,,"[121.4715075,31.21605719]",1940-1998年 ,20户
5011000009481,北京东路360弄,0,,"[121.4896798,31.2462302]",1984年 ,4户
5011000009932,桃源坊(黄浦),0,,"[121.4743433,31.22629839]",1970年 ,40户
50000000000768,瑞金二路71号,0,,"[121.47103169384,31.223163584703]",1936年 ,1户
50000000001286,文庙路284号,0,,"[121.49531435983,31.223531265827]",暂无信息 ,1户
5011000004096,建国西路144号,0,,"[121.4705949,31.21351617]",1992年 ,2户
50000000001430,兴安路153号,0,,"[121.47714733445,31.226994474909]",暂无信息 ,2户
50000000001696,牛庄路692号,0,,"[121.48380554933,31.243587483614]",暂无信息 ,2户
50000000000974,广东路123号,0,,"[121.4954692278,31.239503551156]",暂无信息 ,5户
50000000001595,建国中路155弄,0,,"[121.47431768761,31.214556650077]",1932年 ,8户
5020035926285976,新昌路547,0,,"[121.472779,31.245816]",暂无信息 ,1户
5011000007817,肇周路224弄,0,,"[121.4872346,31.22115021]",1936-1984年 ,17户
50000000000651,巨鹿路258号,0,,"[121.46856133516,31.229115441308]",暂无信息 ,1户
509821540057597,合肥路77弄,0,,"[121.48576750848,31.221374471392]",1980年 ,1户
50000000002708,江阴街430号,0,,"[121.49447534528,31.218362465132]",暂无信息 ,3户
5020059313292027,复兴珑御一期,22,209220,"[121.491404,31.223154]",2003-2020年 ,498户
50000000058693,绍兴路52弄,0,,"[121.47078285562,31.215765538544]",暂无信息 ,1户
5011000006146,懋益里,0,,"[121.473433,31.243285]",1935-1995年 ,47户
50000000050084,茂名南路124号甲,0,109658,"[121.46832943327,31.221834392546]",1977年 ,20户
5020044774943886,太阳都市花园一期,14,107604,"[121.495271,31.228536]",1999年 ,748户
5011000005237,天柱山路小区,5,105288,"[121.500019,31.216444]",1981-1994年 ,336户
5011000005061,丽都大厦,8,,"[121.492313,31.20499514]",2001年 ,280户
5011000005153,建国东路187号,0,,"[121.4842777,31.21851236]",1981年 ,18户
5011000005220,静修路36弄,0,,"[121.4946206,31.22579798]",暂无信息 ,4户
5011000005251,黄浦逸城,7,135917,"[121.494015,31.217218]",2014年 ,240户
5011000005316,和顺街26弄,0,,"[121.5035414,31.22604047]",1989-1990年 ,139户
