title,house_type,district,bizcircle_name,avg_price,area_range,sale_status,open_date,longitude,latitude,tags,index
荣上青云府,住宅,临安,临安,13000,41-95㎡,在售,2021-09-04,119.610624,30.269489,"['低单价', '低总价', '车位充足', '低密居所']",2
蓝城恒伟江南山庄,住宅,临安,临安,17500,75-123㎡,在售,2022-05-08,119.69605621685,30.227026834178,"['低总价', '车位充足', '低密居所', '养老舒适']",2
越秀归悦里,住宅,临安,临安,20370,87-89㎡,在售,2022-10-29,119.72153867702,30.256542192021,"['绿化率高', '低密居所', '国央企', '高品质小区']",2
颐和山庄,住宅,临安,临安,18500,79-146㎡,在售,2023-07-99,119.794271,30.270671,"['车位充足', '低密居所', '置换改善', '养老舒适']",2
荣上青云府,别墅,临安,临安,19900,143-160㎡,在售,2021-10-01,119.610624,30.269489,"['低单价', '低总价', '车位充足', '人车分流']",2
星著柏悦府,住宅,临安,临安,22800,89-139㎡,在售,2022-05-28,119.7021028774,30.237161628756,"['绿化率高', '人车分流', '品牌房企', '自持商业']",3
中天溪珺庭,住宅,临安,临安,22800,50-95㎡,在售,2022-06-27,119.70894,30.240757,"['绿化率高', '大型社区', '品牌房企', '贴心物业']",3
美的滨湖翠邸,住宅,临安,临安,23980,88-132㎡,在售,2021-12-29,119.73987646353,30.244584118938,"['绿化率高', '低密居所', '高品质小区', '养老舒适']",3
华发峰荟荟天府,住宅,临安,临安,23500,70-119㎡,在售,2022-03-99,119.71183671085,30.235802998111,"['绿化率高', '大型社区', '国央企', '品牌房企']",3
世茂国风源赋,住宅,临安,临安,19800,89-115㎡,在售,2022-03-30,119.71310412753,30.213234863832,"['人车分流', '大型社区', '品牌房企', '健身跑道']",3
柏源晶舍,住宅,临安,临安,22800,42-113㎡,在售,2023-09-01,119.70833840297,30.237616413847,"['车位充足', '人车分流', '品牌房企', '健身跑道']",3
朗诗溪涧雅庐,别墅,临安,临安,24000,110-173㎡,在售,2023-06-10,119.659354,30.255863,"['低单价', '低总价', '车位充足', '人车分流']",3
恒福禹都,住宅,临安,临安,14900,75-125㎡,在售,2022-05-13,119.65594218734,30.19474908901,"['低单价', '低总价', '绿化率高', '低密居所']",3
恒福禹都,别墅,临安,临安,26900,164-201㎡,在售,,119.65594218734,30.19474908901,"['人车分流', '小型社区', '置换改善', '品牌房企']",3
桃语春福里,住宅,临安,临安,14300,36-88㎡,在售,2022-08-05,119.72953000848,30.318044521545,"['低单价', '低总价', '绿化率高', '人车分流']",3
中天大家宸澜学府,住宅,临安,临安,17800,69-89㎡,在售,2022-07-30,119.70216604818,30.233853612346,"['绿化率高', '人车分流', '国央企', '品牌房企']",4
世茂国风源赋,别墅,临安,临安,32000,170㎡,在售,2023-12-01,119.71310412753,30.213234863832,"['人车分流', '大型社区', '品牌房企', '水系园林']",4
枫柏兰庭,住宅,临安,临安,11000,89-129㎡,在售,2021-12-15,119.40377868057,30.194054892683,"['低单价', '低总价', '绿化率高', '人车分流']",4
雨润星雨华府三期,住宅,临安,临安,20100,89-110㎡,在售,2023-08-29,119.72309999979,30.264545187014,"['车位充足', '低密居所', '养老舒适', '品牌房企']",4
珺楠府,住宅,临安,,25000,99㎡,在售,2023-06-07,119.82201009955,30.268190439659,"['车位充足', '绿化率高', '高品质小区', '养老舒适']",4
融悦天辰府,住宅,临安,临安,12000,89-139㎡,在售,2022-07-11,119.40153963623,30.18708640406,"['低单价', '低总价', '车位充足', '绿化率高']",4
浮玉府,住宅,临安,临安,10600,89-132㎡,在售,2022-01-28,119.40218947655,30.19463644193,"['低单价', '低总价', '车位充足', '低密居所']",4
如沐清晖城,别墅,临安,,41500,157-241㎡,在售,2023-09-12,119.80905606617,30.262463169034,"['车位充足', '人车分流', '置换改善', '品牌房企']",4
耦贤里,住宅,临安,临安,26880,60-135㎡,在售,2022-10-01,119.80217697739,30.267597974218,"['低密居所', '小型社区', '置换改善', '养老舒适']",4
耦贤里,别墅,临安,临安,33000,160-180㎡,在售,2022-10-01,119.80217697739,30.267597974218,"['小型社区', '封闭管理', '置换改善', '品牌房企']",4
湖语牧松,别墅,临安,临安,23870,173㎡,在售,2024-03-18,119.77745036635,30.221308158579,"['低单价', '车位充足', '封闭管理', '置换改善']",5
雨润星雨华府三期,别墅,临安,临安,22300,154-190㎡,在售,2022-06-11,119.72309999979,30.264545187014,"['低单价', '低总价', '车位充足', '人车分流']",5
棠颂大院,住宅,临安,临安,18900,65-102㎡,在售,2022-06-11,119.76762621563,30.242125473555,"['低总价', '小型社区', '贴心物业', '多轨交汇']",5
如沐清晖城,住宅,临安,,22500,87-141㎡,在售,2023-02-99,119.80905606617,30.262463169034,"['车位充足', '低密居所', '置换改善', '品牌房企']",5
中天宸锦学府,住宅,临安,临安,22000,70㎡,在售,2022-11-05,119.70658763089,30.235224359977,"['车位充足', '绿化率高', '品牌房企', '近地铁']",5
保亿丽云府,住宅,临安,青山湖科技城,24500,94-124㎡,在售,2022-09-24,119.82511658798,30.252823421787,"['车位充足', '人车分流', '品牌房企', '科技住宅']",5
