idx,symbol,industry,sector
672,SHOT,空壳公司,金融服务
673,SHOP,软件,科技
674,SHOO,鞋类与配饰,可选消费
675,SHOE,服装零售,可选消费
676,SHMD,专业工业机械,工业
677,SHLS,太阳能,科技
678,SHIP,海运,工业
679,SHIM,工程与建筑,工业
680,SHFS,区域性银行,金融服务
681,SHEN,电信服务,通讯服务
682,SHC,诊断与研究,医疗保健
683,SHBI,区域性银行,金融服务
684,SHAZ,信息技术服务,科技
685,SGRY,医疗设施,医疗保健
686,SGP,生物技术,医疗保健
687,SGMT,生物技术,医疗保健
688,SGML,工业金属采矿,基础材料
689,SGLY,综合货运物流,工业
690,SGHT,医疗设备,医疗保健
691,SGC,服装制造,可选消费
692,SGA,广播媒体,通讯服务
693,SFWL,综合货运物流,工业
694,SFST,区域性银行,金融服务
695,SFNC,区域性银行,金融服务
696,SFM,杂货店,必需消费
697,SFIX,服装零售,可选消费
698,SFHG,专业商业服务,工业
699,SFD,包装食品,必需消费
700,SFBC,区域性银行,金融服务
701,SEZL,信贷服务,金融服务
702,SERV,综合货运物流,工业
703,SERA,医疗设备,医疗保健
704,SEPN,生物技术,医疗保健
705,SENS,医疗设备,医疗保健
706,SENEB,包装食品,必需消费
707,SENEA,包装食品,必需消费
708,SELF,特殊品类REIT,房地产
709,SEIC,资产管理,金融服务
710,SEGG,博彩,可选消费
711,SEER,生物技术,医疗保健
712,SEED,农业投入,基础材料
713,SEDG,太阳能,科技
714,SEAT,互联网内容信息,通讯服务
715,SDST,电气设备零件,工业
716,SDOT,农产品,必需消费
717,SDHI,空壳公司,金融服务
718,SDGR,健康信息服务,医疗保健
719,SDA,汽车卡车经销,可选消费
720,SCZM,工业金属采矿,基础材料
721,SCYX,药品制造商,医疗保健
722,SCWO,污染处理控制,工业
723,SCTX,生物技术,医疗保健
724,SCSC,电子计算机分销,科技
725,SCPQ,空壳公司,金融服务
726,SCOR,软件,科技
727,SCNX,药品零售商,医疗保健
728,SCNI,生物技术,医疗保健
729,SCLX,药品制造商,医疗保健
730,SCKT,计算机硬件,科技
731,SCII,空壳公司,金融服务
732,SCHL,出版,通讯服务
733,SCAG,农用重型机械,工业
734,SBUX,餐厅,可选消费
735,SBRA,医疗保健地产REIT,房地产
736,SBLK,海运,工业
737,SBGI,广播媒体,通讯服务
738,SBFM,药品制造商,医疗保健
739,SBFG,区域性银行,金融服务
740,SBET,资本市场,金融服务
741,SBCF,区域性银行,金融服务
742,SBC,咨询服务,工业
743,SBAC,特殊品类REIT,房地产
744,SATL,航空航天国防,工业
745,SATA,资产管理,金融服务
746,SANM,电子元件,科技
747,SANG,软件,科技
748,SANA,生物技术,医疗保健
749,SAMG,资产管理,金融服务
750,SAIL,软件,科技
751,SAIH,信息技术服务,科技
752,SAIC,信息技术服务,科技
753,SAIA,卡车运输,工业
754,SAGT,软件,科技
755,SAFX,可再生能源公用事业,公用事业
756,SAFT,财产意外保险,金融服务
757,SABS,生物技术,医疗保健
758,SABR,软件,科技
759,SAAQU,空壳公司,金融服务
760,SAAQ,空壳公司,金融服务
761,RZLV,软件,科技
762,RZLT,生物技术,医疗保健
763,RYTM,生物技术,医疗保健
764,RYOJ,咨询服务,工业
765,RYM,烟草,必需消费
766,RYET,教育培训服务,必需消费
767,RYAAY,航空公司,工业
768,RXT,软件,科技
769,RXST,医疗设备,医疗保健
770,RXRX,生物技术,医疗保健
771,RWAY,资产管理,金融服务
772,RVSN,铁路,工业
773,RVSB,区域性银行,金融服务
774,RVMD,生物技术,医疗保健
775,RUSHB,汽车卡车经销,可选消费
776,RUSHA,汽车卡车经销,可选消费
777,RUN,太阳能,科技
778,RUM,互联网内容信息,通讯服务
779,RUBI,海运,工业
780,RTB,软件,科技
781,RTACU,空壳公司,金融服务
782,RTAC,空壳公司,金融服务
783,RSVR,娱乐,通讯服务
784,RSSS,软件,科技
785,RRR,度假村与赌场,可选消费
786,RRGB,餐厅,可选消费
787,RREVU,空壳公司,金融服务
788,RREV,空壳公司,金融服务
789,RRBI,区域性银行,金融服务
790,RR,专业工业机械,工业
791,RPRX,生物技术,医疗保健
792,RPID,医疗设备,医疗保健
793,RPGL,软件,科技
794,RPD,软件,科技
795,RPAY,软件,科技
796,ROST,服装零售,可选消费
797,ROP,软件,科技
