idx,symbol,industry,sector
475,TANH,Household & Personal Products,Consumer Defensive
476,TACT,Computer Hardware,Technology
477,TACO,Shell Companies,Financial Services
478,TACH,Shell Companies,Financial Services
479,SZZLU,Shell Companies,Financial Services
480,SZZL,Shell Companies,Financial Services
481,SYRE,Biotechnology,Healthcare
482,SYPR,Auto Parts,Consumer Cyclical
483,SYNA,Semiconductors,Technology
484,SYM,Specialty Industrial Machinery,Industrials
485,SYBT,Banks - Regional,Financial Services
486,SY,Health Information Services,Healthcare
487,SXTP,Biotechnology,Healthcare
488,SXTC,Drug Manufacturers - Specialty & Generic,Healthcare
489,SWVL,Railroads,Industrials
490,SWMR,Software - Infrastructure,Technology
491,SWKS,Semiconductors,Technology
492,SWIM,Building Products & Equipment,Industrials
493,SWBI,Aerospace & Defense,Industrials
494,SWAG,Advertising Agencies,Communication Services
495,SVRN,Marine Shipping,Industrials
496,SVRE,Scientific & Technical Instruments,Technology
497,SVRA,Biotechnology,Healthcare
498,SVIV,Shell Companies,Financial Services
499,SVCO,Software - Application,Technology
500,SVCCU,Shell Companies,Financial Services
501,SVCC,Shell Companies,Financial Services
502,SVC,REIT - Hotel & Motel,Real Estate
503,SVAQ,Shell Companies,Financial Services
504,SURG,Telecom Services,Communication Services
505,SUPX,Software - Infrastructure,Technology
506,SUPN,Drug Manufacturers - Specialty & Generic,Healthcare
507,SUNS,REIT - Mortgage,Real Estate
508,SUNE,Solar,Technology
509,SUMA,Shell Companies,Financial Services
510,SUJA,Beverages - Non-Alcoholic,Consumer Defensive
511,SUIG,Credit Services,Financial Services
512,SUGP,Security & Protection Services,Industrials
513,STX,Computer Hardware,Technology
514,STTK,Biotechnology,Healthcare
515,STRZ,Entertainment,Communication Services
516,STRT,Auto Parts,Consumer Cyclical
517,STRRP,Staffing & Employment Services,Industrials
518,STRR,Staffing & Employment Services,Industrials
519,STRO,Biotechnology,Healthcare
520,STRL,Engineering & Construction,Industrials
521,STRK,Software - Application,Technology
522,STRF,Software - Application,Technology
523,STRD,Software - Application,Technology
524,STRC,Software - Application,Technology
525,STRA,Education & Training Services,Consumer Defensive
526,STOK,Biotechnology,Healthcare
527,STNE,Software - Infrastructure,Technology
528,STLN,Medical Care Facilities,Healthcare
529,STLD,Steel,Basic Materials
530,STKS,Restaurants,Consumer Cyclical
531,STKH,Packaged Foods,Consumer Defensive
532,STKE,Capital Markets,Financial Services
533,STIM,Medical Devices,Healthcare
534,STI,Electrical Equipment & Parts,Industrials
535,STHO,Real Estate Services,Real Estate
536,STGW,Advertising Agencies,Communication Services
537,STFS,Advertising Agencies,Communication Services
538,STEX,Capital Markets,Financial Services
539,STEP,Asset Management,Financial Services
540,STBA,Banks - Regional,Financial Services
541,STAK,Oil & Gas Equipment & Services,Energy
542,STAA,Medical Instruments & Supplies,Healthcare
543,SSYS,Computer Hardware,Technology
544,SSTI,Software - Application,Technology
