,symbol,open_alias,close,high,low,change,chg,volume,mktcap
1694,nwe,58.5200,57.4900,58.5200,57.0500,-2.34,-1.3800,379731,2964254940
1695,trq,14.9600,14.7300,15.1600,14.6550,1.24,0.1800,296375,2964139199
1696,ngvt,75.5200,74.9300,76.2900,74.8900,-0.60,-0.4500,122207,2961270015
1697,nuva,57.8300,57.1400,58.1150,57.0200,-1.53,-0.8900,600943,2952123757
1698,fisk,0.0000,10.3300,0.0000,0.0000,0.00,0.0000,1,2951498002
1699,amrc,58.1000,57.4200,59.2300,57.3000,-1.71,-1.0000,220608,2950728129
1700,rpai,13.6000,13.7300,13.9150,13.5550,1.25,0.1700,1708225,2949174741
1701,vcyt,41.2900,41.5500,42.6800,40.5100,0.05,0.0200,195832,2943979004
1702,oscr,14.8000,14.1600,14.9500,14.1300,-4.39,-0.6500,1204510,2940632093
1703,cbt,52.1200,51.7800,53.0000,51.7500,0.02,0.0100,130334,2937144745
1704,kmt,34.8000,34.9900,35.4500,34.5100,0.55,0.1900,407273,2933653448
1705,bmi,104.5200,100.5100,104.5200,100.4850,-4.42,-4.6500,105821,2932519964
1706,acva,19.1850,18.9000,19.1850,18.5500,-0.32,-0.0600,517533,2929398318
1707,tfi,51.3900,51.3400,51.4300,51.3400,-0.14,-0.0700,584551,2921126018
1708,lyel,12.8600,12.2000,12.8600,11.7400,-5.72,-0.7400,282494,2920658113
1709,jjsf,153.8500,152.8800,154.0000,151.4936,-0.07,-0.1100,30347,2914489490
1710,lila,12.5400,12.5000,12.7150,12.5000,-0.48,-0.0600,183167,2913292400
1711,prg,44.2600,43.8000,45.0200,43.7900,-0.86,-0.3800,161761,2912695663
1712,lilak,12.5700,12.4900,12.7100,12.4800,-0.72,-0.0900,355135,2910962003
1713,ugp,2.6600,2.6700,2.7400,2.6500,0.00,0.0000,1065308,2905401001
1714,ael,31.5500,31.3500,31.9000,31.3400,-0.54,-0.1700,157508,2900276938
1715,ucbi,34.1900,33.4100,34.2100,33.4000,-1.39,-0.4700,313070,2899965348
1716,agi,7.4200,7.3800,7.5000,7.3400,-0.40,-0.0300,2115729,2899926786
1717,cnx,13.7500,13.3000,13.7999,13.2510,-1.77,-0.2400,2579943,2898349699
1718,ctkb,21.7800,21.6100,22.4000,21.5400,-0.14,-0.0300,107150,2889148928
1719,thrm,86.6100,87.1300,88.7600,86.1000,0.14,0.1200,68906,2888760559
1720,pbh,57.7200,57.6900,58.1500,56.9600,-0.60,-0.3500,111746,2887960996
1721,aub,38.5000,37.5400,38.5000,37.0900,-2.14,-0.8200,169189,2887012311
1722,ivoo,181.7700,180.5500,182.9750,180.5400,-0.53,-0.9600,8788,2886772604
1723,itgr,89.2600,87.3900,89.6100,87.3000,-2.31,-2.0700,64108,2883875068
1724,tex,42.3900,41.2500,42.6400,41.1900,-1.95,-0.8200,443602,2879250000
1725,stem,22.1300,21.9700,23.3500,21.9500,-0.72,-0.1600,1185501,2878266258
1726,ag,11.3400,11.2200,11.5580,11.2000,-1.06,-0.1200,1865691,2877717414
1727,igm,407.2800,406.0800,411.5600,406.0800,-0.80,-3.2600,25685,2877437399
1728,fbc,54.3500,54.3000,54.9200,54.2900,0.44,0.2400,189221,2870421152
1729,wern,42.4600,42.1400,42.7600,42.1000,-1.01,-0.4300,435058,2862649128
1730,main,41.7300,41.6000,41.8800,41.5300,-0.29,-0.1200,155335,2854217849
1731,trn,28.6000,28.7000,29.1500,28.4000,1.02,0.2900,349893,2850068022
1732,vsh,20.2100,19.6800,20.3600,19.6700,-2.38,-0.4800,550616,2849819078
1733,rodm,30.2200,30.1200,30.3200,30.1050,-0.20,-0.0600,145178,2844977431
1734,onb,17.4600,17.1400,17.4600,17.1400,-1.10,-0.1900,861004,2840443868
1735,fix,78.4600,78.1000,79.2300,77.8050,-0.46,-0.3600,99894,2835435963
1736,cade,23.0500,22.6900,23.0600,22.6700,-0.48,-0.1100,365298,2831210006
1737,ccxi,37.8500,40.5000,42.1600,36.5500,5.44,2.0900,37320474,2831091952
1738,yelp,39.1800,38.3600,39.3700,38.3000,-1.24,-0.4800,433763,2821952019
1739,ushy,41.1600,41.0100,41.1600,41.0000,-0.27,-0.1100,1309145,2820735466
1740,urbn,29.9500,28.6400,30.3100,28.5700,-3.54,-1.0500,1394834,2817141007
